entry_type,status,ring,pillar,priority,source_url,search_query,creator_handle,creator_name,language,region,visible_hook,why_it_fits,watch_action,comment_direction,risk_notes,added_on,last_reviewed
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=seeker%20trap,seeker trap,,,en,,Seeking as identity,Find videos where the path itself has become the hiding place,watch_full,The seeker can wear the desire to stop seeking,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=tired%20of%20seeking,tired of seeking,,,en,,Spiritual exhaustion,Core wound for Anky positioning,watch_full,Sometimes understanding becomes the final delay,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=spiritual%20seeker,spiritual seeker,,,en,,Seeker identity,Useful when videos question the identity instead of romanticizing it,watch_full,Seeking becomes safe when seeing would change your life,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=nonduality,nonduality,,,en,,Direct path audience,Sharpest overlap when content avoids performance,watch_full,The pointer becomes entertainment when nothing is risked,Watch for guru cosplay,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=advaita,advaita,,,en,,Advaita audience,Find Ramana/Nisargadatta/direct experience clips,watch_full,The one looking for the end of seeking is made of seeking,Watch for quote-farm accounts,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Ramana%20Maharshi,Ramana Maharshi,,,en,,Self-inquiry source,Core audience recognizes Who am I language,watch_full,Look at the one who wants the answer,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Nisargadatta,Nisargadatta,,,en,,I Am That audience,Strong direct-path overlap,watch_full,Sometimes I understand is the final hiding place,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=I%20Am%20That,I Am That,,,en,,Nisargadatta quote cluster,Core direct-path audience,watch_full,The mirror is not impressed by spiritual vocabulary,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Rupert%20Spira,Rupert Spira,,,en,,Awareness/direct experience,Find serious direct experience conversations,watch_full,You can use wisdom to avoid truth,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Francis%20Lucille,Francis Lucille,,,en,,Direct path teacher clips,High-value but likely smaller pool,watch_full,The path becomes real when it stops giving you identity,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Swami%20Sarvapriyananda,Swami Sarvapriyananda,,,en,,Vedanta audience,Serious spiritual study audience,watch_full,The explanation is not the encounter,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Who%20am%20I%20self%20inquiry,Who am I self inquiry,,,en,,Self-inquiry,Direct match to Anky as action-based inquiry,watch_full,Who is trying to control the sentence,,2026-06-04,
search,candidate,ring_1,seeker_trap,2,https://www.tiktok.com/search?q=pathless%20path,pathless path,,,en,,Pathless path language,Good if it cuts through identity,watch_full,The pathless path cannot become your brand without disappearing,,2026-06-04,
search,candidate,ring_1,seeker_trap,2,https://www.tiktok.com/search?q=direct%20experience%20spirituality,direct experience spirituality,,,en,,Experience over theory,Find posts that point away from explanation,watch_full,A pointer is useful only when it returns you to what is here,,2026-06-04,
search,candidate,ring_1,practice_fatigue,2,https://www.tiktok.com/search?q=meditation%20retreat%20integration,meditation retreat integration,,,en,,Post-retreat integration,Serious practitioners beyond beginner wellness,watch_full,Practice becomes real when it removes performance,,2026-06-04,
search,candidate,ring_1,practice_fatigue,2,https://www.tiktok.com/search?q=dark%20night%20meditation,dark night meditation,,,en,,Practice difficulty,Find non-aesthetic practice fatigue,watch_full,Silence is brutal because there is nowhere to edit yourself,,2026-06-04,
search,candidate,ring_1,practice_fatigue,2,https://www.tiktok.com/search?q=vipassana%20retreat%20experience,vipassana retreat experience,,,en,,Retreat/practice audience,Useful if sober and embodied,watch_full,The posture is not the point. The hiding is,,2026-06-04,
search,candidate,ring_2,marketplace_critique,1,https://www.tiktok.com/search?q=spiritual%20ego,spiritual ego,,,en,,Ego in spiritual costume,Core anti-performance target,watch_full,Spiritual ego survives by sounding humble,,2026-06-04,
search,candidate,ring_2,marketplace_critique,1,https://www.tiktok.com/search?q=spiritual%20bypassing,spiritual bypassing,,,en,,Bypassing critique,Audience suspicious of false wisdom,watch_full,You can turn healing into another way not to feel,,2026-06-04,
search,candidate,ring_2,marketplace_critique,1,https://www.tiktok.com/search?q=guru%20culture,guru culture,,,en,,Anti-guru critique,Find people tired of spiritual marketplace,watch_full,The marketplace sells identity to people trying to lose identity,,2026-06-04,
search,candidate,ring_2,marketplace_critique,2,https://www.tiktok.com/search?q=manifestation%20critique,manifestation critique,,,en,,Manifestation critique,Exception path into avoided category,watch_full,Awakening became content. That is the wound,Skip pro-manifestation content,2026-06-04,
search,candidate,ring_2,marketplace_critique,2,https://www.tiktok.com/search?q=toxic%20spirituality,toxic spirituality,,,en,,Spiritual marketplace critique,Good when precise not cynical,watch_full,"If it makes you feel special, examine it twice",,2026-06-04,
search,candidate,ring_2,creative_excavation,2,https://www.tiktok.com/search?q=writing%20as%20healing,writing as healing,,,en,,Writing bridge,Grounds Anky beyond non-duality,watch_full,The first honest sentence usually appears after the beautiful ones fail,,2026-06-04,
search,candidate,ring_2,creative_excavation,2,https://www.tiktok.com/search?q=writing%20as%20prayer,writing as prayer,,,en,,Writing/prayer bridge,Matches no-performance writing language,watch_full,What you write before you can polish it is closer to prayer,,2026-06-04,
search,candidate,ring_2,creative_excavation,2,https://www.tiktok.com/search?q=unconscious%20writing,unconscious writing,,,en,,Unconscious material,Strong bridge to mirror and story,watch_full,The unconscious prefers images because explanations are easy to fake,,2026-06-04,
search,candidate,ring_2,creative_excavation,2,https://www.tiktok.com/search?q=artist%20process%20truth,artist process truth,,,en,,Art as excavation,Find serious creative-process content,watch_full,Sometimes the work knows before the maker does,,2026-06-04,
search,candidate,ring_2,creative_excavation,2,https://www.tiktok.com/search?q=Jung%20shadow%20work,Jung shadow work,,,en,,Jung/shadow bridge,Useful if not therapy-speak performance,watch_full,The shadow is not impressed by your vocabulary,Watch for generic self-help,2026-06-04,
search,candidate,ring_2,parenting_mirror,3,https://www.tiktok.com/search?q=parenting%20triggers,parenting triggers,,,en,,Parenting mirror,Grounds mystical insight in family life,watch_full,Children hear the truth underneath the lesson,,2026-06-04,
search,candidate,ring_2,parenting_mirror,3,https://www.tiktok.com/search?q=child%20as%20mirror,child as mirror,,,en,,Child mirror,Direct bridge to Anky story output,watch_full,The child does not need your performance. They need your presence,,2026-06-04,
search,candidate,ring_2,parenting_mirror,3,https://www.tiktok.com/search?q=bedtime%20story%20meaning,bedtime story meaning,,,en,,Story bridge,Find story-as-symbol clips,watch_full,Sometimes the story says what the parent cannot,,2026-06-04,
search,candidate,ring_3,anti_performance,2,https://www.tiktok.com/search?q=authenticity%20performance,authenticity performance,,,en,,Performance critique,Wider-market entry into Anky constraint,watch_full,You can turn even authenticity into performance,,2026-06-04,
search,candidate,ring_3,anti_performance,2,https://www.tiktok.com/search?q=vulnerability%20performance,vulnerability performance,,,en,,Performed vulnerability,Wider anti-performance audience,watch_full,The most dangerous mask is the one that sounds healed,,2026-06-04,
search,candidate,ring_3,mirror_mechanism,2,https://www.tiktok.com/search?q=journaling%20prompts,journaling prompts,,,en,,Anti-prompt wedge,Accept only if content can collapse into prompt fatigue,watch_full,You do not need another prompt. You need to see who keeps asking for one,Watch for generic journaling tips,2026-06-04,
search,candidate,ring_3,anti_performance,2,https://www.tiktok.com/search?q=self%20improvement%20burnout,self improvement burnout,,,en,,Burnout from optimization,Wider market bridge,watch_full,Optimization can become a beautiful way to avoid yourself,,2026-06-04,
search,candidate,avoid,marketplace_critique,5,https://www.tiktok.com/search?q=law%20of%20attraction%20critique,law of attraction critique,,,en,,Avoid-category critique,Only accept critique not pro-manifestation,watch_full,The fantasy of control is still control,Reject most rows here,2026-06-04,
search,candidate,avoid,marketplace_critique,5,https://www.tiktok.com/search?q=twin%20flame%20critique,twin flame critique,,,en,,Avoid-category critique,Only accept sober critique,watch_full,Longing becomes profitable when it is never allowed to end,Reject most rows here,2026-06-04,
video,watched,ring_1,seeker_trap,1,https://www.tiktok.com/@ari.yellin/video/7631368899359001869,Who am I self inquiry,ari.yellin,,en,,"A question that dissolves the questioner","Direct self-inquiry language that points at the questioner, not another answer.",watch_full,Look at the one who wants the answer,,2026-06-04,2026-06-04
video,watched,ring_1,seeker_trap,1,https://www.tiktok.com/@davemannofficial/video/7479478394455936262,Who am I self inquiry,davemannofficial,,en,,"Most people never ask the ultimate question: Who am I?","Useful direct-path entry point for the audience that already understands self-discovery language.",watch_full,The answers are not given. The one asking has to be seen,Watch for broad self-discovery tone,2026-06-04,2026-06-04
video,watched,ring_1,seeker_trap,1,https://www.tiktok.com/@alex_shailer/video/7207128217499520261,nonduality,alex_shailer,,en,,Non-Duality Explained simply in 1 min.,Concise nonduality explainer that trains the account toward direct-path vocabulary.,watch_full,A pointer becomes entertainment when nothing is risked,,2026-06-04,2026-06-04
video,accepted,ring_1,seeker_trap,1,https://www.tiktok.com/@ollisolus/video/7607238156945083670,nonduality,ollisolus,,en,,"Hope this makes sense, very tough to put into words","Philosophy/nondualism result that emphasizes the limits of language.",watch_full,The explanation is not the encounter,,2026-06-04,
video,accepted,ring_1,seeker_trap,1,https://www.tiktok.com/@sajafendel/video/7569998519725985056,nonduality,sajafendel,,en,,"Non-duality Explained Simply","Another direct-path explainer for warming the feed toward nonduality.",watch_full,The pointer is useful only when it returns you to what is here,Review before commenting because the hook may be generic,2026-06-04,
video,watched,ring_1,seeker_trap,1,https://www.tiktok.com/@ananduniverseofficial/video/7579531354488966422,Ramana Maharshi,ananduniverseofficial,,en,,"A man once asked Ramana Maharshi, How do I silence the mind?","Ramana/self-inquiry source-language for the core audience.",watch_full,Silence is brutal because there is nowhere to edit yourself,,2026-06-04,2026-06-04
video,accepted,ring_1,seeker_trap,2,https://www.tiktok.com/@michaelwoodrich/video/7594134607310703894,stop seeking spirituality,michaelwoodrich,,en,,"Don't seek spirituality. You can't find it. It finds you.","Exact stop-seeking language with strong Anky overlap.",watch_full,Seeking becomes safe when seeing would change your life,Review for tone before any comment,2026-06-04,
video,accepted,ring_1,seeker_trap,2,https://www.tiktok.com/@indya.ajai/video/7597623131376782606,stop seeking spirituality,indya.ajai,,en,,Do not exchange your human experience for a spiritual one.,Grounds spirituality in ordinary human experience instead of escape.,watch_full,You can use wisdom to avoid being human,,2026-06-04,
video,accepted,ring_2,marketplace_critique,2,https://www.tiktok.com/@resonanceshift/video/7559610550255127821,tired of spiritual seeking,resonanceshift,,en,,Why I left the spiritual community...,Good candidate for spiritual marketplace exhaustion and disillusionment.,watch_full,The marketplace sells identity to people trying to lose identity,Review for critique vs reaction content,2026-06-04,
video,watched,ring_2,anti_performance,1,https://www.tiktok.com/@pagetkagy/video/7339641509463084331,spiritual ego,pagetkagy,,en,,"When I first started on my journey, I fell into this trap","Personal spiritual-ego trap framing that fits Anky's anti-performance lane.",watch_full,Spiritual ego survives by sounding humble,,2026-06-04,2026-06-04
video,watched,ring_2,anti_performance,1,https://www.tiktok.com/@danielortizterapeuta/video/7377165645651119366,spiritual ego,danielortizterapeuta,,es,,"Asi se ve el ego espiritual","High-signal Spanish spiritual-ego critique surfaced as a top-liked result.",watch_full,El ego espiritual sobrevive sonando humilde,,2026-06-04,2026-06-04
video,accepted,ring_2,anti_performance,1,https://www.tiktok.com/@jimenadelapeza_/video/7238609921535741190,spiritual ego,jimenadelapeza_,,es,,"8 senales de que estas actuando desde ego espiritual","Spanish spiritual-ego diagnosis content; useful if the tone stays humble.",watch_full,"Si te hace sonar despierto, sospecha",Watch for listicle/generic coaching tone,2026-06-04,
video,accepted,ring_2,anti_performance,1,https://www.tiktok.com/@ejark_/video/7415581083569343786,spiritual ego,ejark_,,en,,"Spirituality involves humility, self awareness, and connection; ego needs to prove knowledge.","Names spiritual superiority as insecurity, which fits Anky's anti-performance frame.",watch_full,The mirror is not impressed by spiritual vocabulary,,2026-06-04,
video,accepted,ring_2,anti_performance,2,https://www.tiktok.com/@nicocanon_/video/7643126563533327617,spiritual ego,nicocanon_,,en,,Being Whole > Being Holy,Strong anti-holiness/performance hook that could bridge into Anky's voice.,watch_full,The most dangerous mask is the one that sounds healed,Review because it may be broad wellness content,2026-06-04,
video,watched,ring_2,marketplace_critique,1,https://www.tiktok.com/@nononsensespirituality/video/7423836231643024686,spiritual bypassing,nononsensespirituality,,en,,"Replying about new age spirituality, tarot, astrology, Christianity, and spiritual bypassing.","Critique of spiritual bypassing and new-age marketplace edges.",watch_full,You can turn spirituality into another way not to feel,Contains avoid-category keywords but appears critique-oriented,2026-06-04,2026-06-04
video,accepted,ring_2,marketplace_critique,1,https://www.tiktok.com/@nickyoungslife/video/7639878707976342798,spiritual bypassing,nickyoungslife,,en,,Spiritual bypassing,High-engagement spiritual bypassing result with therapy/church context.",watch_full,Simple answers can become elegant avoidance,,2026-06-04,
video,watched,ring_2,parenting_mirror,1,https://www.tiktok.com/@spicycounselor/video/7501365486303644970,spiritual bypassing,spicycounselor,,en,,"Spiritual bypassing is usually unintentional, but harmful, especially for children.","Strong bridge between spiritual bypassing and children receiving unprocessed emotion.",watch_full,Children hear the truth underneath the lesson,,2026-06-04,2026-06-04
video,accepted,ring_2,marketplace_critique,2,https://www.tiktok.com/@abistumvoll1/video/7470709202483236142,spiritual bypassing,abistumvoll1,,en,,Offering simple spiritual answers to address complex human struggles is bypassing.,Precise critique of using spirituality to avoid complexity and pain.,watch_full,"Spirituality has to pass through pain, not explain around it",,2026-06-04,
video,accepted,ring_2,marketplace_critique,2,https://www.tiktok.com/@gabbybernsteinofficial/video/7220463913257684270,guru culture spirituality,gabbybernsteinofficial,,en,,"Breaking silence about guru culture and broken trust.","Useful mainstream anti-guru/marketplace critique for the bridge audience.",watch_full,The guru is easiest to see outside. Harder to see as the voice inside that wants to be special,Creator is a large brand; comment only if the exact video warrants it,2026-06-04,
video,accepted,ring_2,marketplace_critique,2,https://www.tiktok.com/@javadiscover/video/7197004908598447366,guru culture spirituality,javadiscover,,en,,"Meet Shaman Durek, a guru with a big celebrity following.","Documentary-style guru culture candidate for marketplace critique warming.",watch_full,Awakening became content. That is the wound,Potentially sensational; review before engaging,2026-06-04,
video,watched,ring_2,creative_excavation,1,https://www.tiktok.com/@rottenangelpoetess/video/7621619584340380931,unconscious writing,rottenangelpoetess,,en,,Stream of consciousness writing,Direct bridge between writing and unedited emergence.,watch_full,The first honest sentence usually appears after the beautiful ones fail,,2026-06-04,2026-06-04
video,accepted,ring_2,creative_excavation,2,https://www.tiktok.com/@lisa.maria222/video/7561935993281072398,unconscious writing,lisa.maria222,,en,,Automatic writing for clarity,Writing-as-unconscious-material candidate that can train the creative excavation lane.,watch_full,The unconscious prefers images because explanations are easy to fake,Watch for intuition-selling drift,2026-06-04,
video,accepted,ring_2,creative_excavation,2,https://www.tiktok.com/@brian.qrcode/video/7316763342851525934,unconscious writing,brian.qrcode,,en,,Exploring the Mystique of Automatic Writing: Unveiling the Subconscious,Direct automatic-writing candidate for the bridge audience.,watch_full,Sometimes the story knows before the writer does,Review because it may lean occult/mystique,2026-06-04,
video,watched,ring_2,parenting_mirror,1,https://www.tiktok.com/@soul.bridge.collective/video/7091711202031619370,parenting triggers,soul.bridge.collective,,en,,"Self-regulate and teach your kids this; unresolved trauma makes it difficult.","Strong parenting-as-mirror bridge grounded in unresolved patterns.",watch_full,The child does not need your performance. They need your presence,,2026-06-04,2026-06-04
video,accepted,ring_2,parenting_mirror,2,https://www.tiktok.com/@powerful.parenting/video/6992734414316866822,parenting triggers,powerful.parenting,,en,,What behavior triggers you?,Clean parenting-trigger prompt for the child-as-mirror lane.,watch_full,Sometimes the child reveals the parent to themselves,,2026-06-04,
video,accepted,ring_2,parenting_mirror,2,https://www.tiktok.com/@bencoleedwards/video/7216785694444784901,parenting triggers,bencoleedwards,,en,,What triggers have you experienced since becoming a parent?,Parenting trigger reflection that can ground Anky's story/mirror angle.,watch_full,A child can reveal more than a confession,,2026-06-04,
